No,PE1,PE2,EE1,EE2,SI1,SI2,SE1,SE2,HM1,HM2,GM1,GM2,GM3,GU1,GU2,GU3,CITU1,CITU2,CITU3,
1,5,5,5,5,5,1,3,3,4,4,4,4,4,4,4,4,5,5,5,
2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,
3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,
4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,5,5,
5,4,4,5,4,4,3,4,4,3,3,3,3,3,4,4,4,3,3,3,
6,4,4,5,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,2,
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,
8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
9,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,5,
10,4,4,2,3,2,4,3,4,4,3,3,4,5,5,5,5,5,5,5,
11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,
12,4,4,4,5,4,3,4,4,4,4,3,3,5,4,4,4,5,4,5,
13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,
14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,
15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
17,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,
18,2,2,2,2,3,3,2,2,4,3,2,2,3,3,3,3,5,5,5,
19,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
20,4,4,3,3,4,4,4,3,3,4,4,4,3,3,3,3,4,4,4,
21,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,
22,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,5,3,3,3,
23,4,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,
24,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,5,5,5,
25,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,
26,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,
27,4,4,5,4,4,5,4,4,4,4,4,4,4,5,4,5,5,5,5,
28,5,5,4,4,2,1,1,1,4,3,1,1,5,5,3,1,4,4,4,
29,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,2,2,1,
30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
31,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,
32,4,4,4,3,5,5,3,2,5,4,4,2,5,5,5,3,3,3,3,
33,3,2,3,3,3,3,3,2,4,3,3,3,3,3,3,2,3,3,3,
34,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,
35,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
36,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,
37,4,4,4,4,4,4,3,3,4,3,3,4,3,3,3,3,4,4,4,
38,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,3,3,
39,5,4,3,3,5,3,4,4,5,5,2,5,5,5,5,5,5,4,4,
40,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,
41,3,3,3,3,3,3,4,3,4,3,4,4,5,4,4,3,5,5,5,
42,2,3,3,3,4,2,2,3,3,3,2,3,4,3,4,4,4,4,4,
43,3,3,2,3,3,2,3,3,4,5,5,5,4,3,3,3,2,2,2,
44,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,
45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,
46,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,
47,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,
48,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,
49,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
50,3,3,3,4,4,4,4,4,4,4,4,4,3,5,5,5,4,4,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
