No,PE1,PE2,EE1,EE2,SI1,SI2,SE1,SE2,HM1,HM2,GM1,GM2,GM3,GU1,GU2,GU3,AT1,AT2,AT3,AT4,BI1,BI2,BI3,UB1,UB2
1,5,5,5,5,5,1,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,1,1
2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,1,3
4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2
5,4,4,5,4,4,3,4,4,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,3
6,4,4,5,4,4,4,3,3,4,4,4,4,4,4,4,4,3,5,5,4,4,4,4,1,3
7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,4,4
8,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4
9,4,4,2,3,2,4,3,4,4,5,3,4,5,5,5,5,5,5,5,5,5,5,5,3,5
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,4,4,4,5,4,3,4,4,4,5,3,3,5,4,4,4,5,5,5,4,5,4,4,4,3
12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5
14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4
15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,2,2,2,2,3,3,2,2,4,3,2,2,3,3,3,3,4,4,4,3,3,3,3,3,3
17,4,4,4,3,5,5,3,2,5,5,4,2,5,5,5,3,3,4,3,3,2,2,2,2,4
18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4
22,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3
23,3,3,3,3,3,3,3,3,4,3,4,4,3,4,4,4,4,4,3,3,3,3,3,2,3
24,3,3,3,4,4,4,4,4,4,3,4,4,3,5,5,5,4,3,3,3,3,4,4,3,3
25,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5
26,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
27,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
28,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,3,3,3,3,3,3,4,3,4,5,4,4,5,4,4,3,4,3,4,4,3,3,3,4,4
30,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,4
31,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5
32,3,3,2,3,3,2,3,3,4,4,5,5,4,3,3,3,5,5,4,4,4,4,4,3,3
33,5,5,4,4,2,1,1,1,4,5,1,1,5,5,3,1,3,5,5,3,3,3,3,1,3
34,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,5,5,5,5,5,5,5,4,5
35,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,4,4
36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5
37,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,3,5
38,5,4,3,3,5,3,4,4,5,5,2,5,5,5,5,5,5,5,5,5,4,3,3,2,4
39,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
